name,value,category,trend,hex
Ocean Blue,120,Blue,Calm,#1CA3EC
Sky Blue,60,Blue,Fresh,#87CEEB
Deep Navy,200,Blue,Bold,#000080
Azure Wave,140,Blue,Modern,#007FFF
Midnight Blue,180,Blue,Premium,#191970
Sunset Orange,180,Orange,Warm,#FF4500
Peach Glow,70,Orange,Soft,#FFDAB9
Burnt Sienna,150,Orange,Earthy,#E97451
Amber Light,130,Orange,Glowing,#FFBF00
Tangerine Pop,160,Orange,Trendy,#F28500
Forest Green,90,Green,Nature,#228B22
Mint Green,130,Green,Cool,#98FF98
Olive Shade,55,Green,Muted,#808000
Emerald Shine,170,Green,Premium,#50C878
Pine Green,110,Green,Deep,#01796F
Royal Purple,170,Purple,Premium,#7851A9
Lavender Mist,80,Purple,Relaxed,#E6E6FA
Plum Rich,150,Purple,Bold,#8E4585
Violet Glow,140,Purple,Soft,#8F00FF
Grape Wine,160,Purple,Luxury,#6F2DA8
Charcoal Black,220,Neutral,Bold,#36454F
Ivory White,140,Neutral,Minimal,#FFFFF0
Ash Grey,65,Neutral,Modern,#B2BEB5
Slate Grey,100,Neutral,Cool,#708090
Pearl White,150,Neutral,Premium,#F8F8FF
Crimson Red,210,Red,Hot,#DC143C
Cherry Red,180,Red,Rich,#D2042D
Rose Red,140,Red,Romantic,#C21E56
Brick Red,120,Red,Earthy,#CB4154
Wine Red,160,Red,Luxury,#722F37
Rose Pink,75,Pink,Soft,#FF66CC
Coral Blush,160,Pink,Trendy,#FF7F50
Bubblegum Pink,130,Pink,Fun,#FFC1CC
Dusty Pink,110,Pink,Muted,#DCAE96
Flamingo Pink,150,Pink,Bright,#FC8EAC
Mustard Yellow,95,Yellow,Vibrant,#FFDB58
Golden Sand,135,Yellow,Warm,#DAA520
Lemon Zest,120,Yellow,Fresh,#FFF44F
Sunflower,160,Yellow,Bright,#FFC512
Honey Glow,140,Yellow,Soft,#FFB300
Teal Splash,185,Blue-Green,Fresh,#008080
Aqua Marine,150,Blue-Green,Cool,#7FFFD4
Seafoam Green,130,Blue-Green,Soft,#9FE2BF
Turquoise Blue,170,Blue-Green,Vibrant,#40E0D0
Lagoon Blue,145,Blue-Green,Calm,#4CB7A5
Chocolate Brown,155,Brown,Earthy,#7B3F00
Walnut Brown,120,Brown,Deep,#5C4033
Caramel Cream,140,Brown,Soft,#C68E17
Mocha Blend,160,Brown,Rich,#3B2F2F
Sandstone Beige,110,Brown,Neutral,#F4A460
