date,name,sales
2024-01,Ocean Blue,113
2024-02,Ocean Blue,123
2024-03,Ocean Blue,112
2024-04,Ocean Blue,77
2024-05,Ocean Blue,87
2024-06,Ocean Blue,69
2024-07,Ocean Blue,50
2024-08,Ocean Blue,92
2024-09,Ocean Blue,61
2024-10,Ocean Blue,35
2024-11,Ocean Blue,20
2024-12,Ocean Blue,68
2024-01,Sky Blue,76
2024-02,Sky Blue,36
2024-03,Sky Blue,45
2024-04,Sky Blue,20
2024-05,Sky Blue,44
2024-06,Sky Blue,36
2024-07,Sky Blue,20
2024-08,Sky Blue,20
2024-09,Sky Blue,20
2024-10,Sky Blue,20
2024-11,Sky Blue,20
2024-12,Sky Blue,20
2024-01,Deep Navy,194
2024-02,Deep Navy,213
2024-03,Deep Navy,219
2024-04,Deep Navy,213
2024-05,Deep Navy,215
2024-06,Deep Navy,264
2024-07,Deep Navy,240
2024-08,Deep Navy,231
2024-09,Deep Navy,265
2024-10,Deep Navy,253
2024-11,Deep Navy,280
2024-12,Deep Navy,318
2024-01,Azure Wave,142
2024-02,Azure Wave,145
2024-03,Azure Wave,149
2024-04,Azure Wave,168
2024-05,Azure Wave,176
2024-06,Azure Wave,176
2024-07,Azure Wave,173
2024-08,Azure Wave,218
2024-09,Azure Wave,224
2024-10,Azure Wave,247
2024-11,Azure Wave,213
2024-12,Azure Wave,277
2024-01,Midnight Blue,176
2024-02,Midnight Blue,204
2024-03,Midnight Blue,207
2024-04,Midnight Blue,200
2024-05,Midnight Blue,223
2024-06,Midnight Blue,231
2024-07,Midnight Blue,232
2024-08,Midnight Blue,219
2024-09,Midnight Blue,278
2024-10,Midnight Blue,251
2024-11,Midnight Blue,268
2024-12,Midnight Blue,282
2024-01,Sunset Orange,167
2024-02,Sunset Orange,185
2024-03,Sunset Orange,180
2024-04,Sunset Orange,169
2024-05,Sunset Orange,153
2024-06,Sunset Orange,156
2024-07,Sunset Orange,101
2024-08,Sunset Orange,135
2024-09,Sunset Orange,114
2024-10,Sunset Orange,131
2024-11,Sunset Orange,146
2024-12,Sunset Orange,67
2024-01,Peach Glow,88
2024-02,Peach Glow,41
2024-03,Peach Glow,46
2024-04,Peach Glow,64
2024-05,Peach Glow,22
2024-06,Peach Glow,20
